,X_follower_count,X_following_count,X_listed_count,X_mentions_received,X_retweets_received,X_mentions_sent,X_retweets_sent,X_posts,X_network_feature_1,X_network_feature_2,X_network_feature_3,Y_follower_count,Y_following_count,Y_listed_count,Y_mentions_received,Y_retweets_received,Y_mentions_sent,Y_retweets_sent,Y_posts,Y_network_feature_1,Y_network_feature_2,Y_network_feature_3
0,4981,2026,170,57.8562065764,18.71899116872,3.52384969752,1.63053218497,5.13753252764,118,65.9909090909,2052.79090909,1467,1216,90,0.20100671707,0.20100671707,2.11813001256,0.68387294339,1.635263786244,10,20.0,30.0
1,45639,902,2661,297.708558464,73.997767712,55.7635358618,6.66698360838,47.7225634304,561,147.404293381,2863.84794275,1706198,442,12158,1675.160104604,187.139696334,15.2425187326,5.2181199806,9.7325419811,2607,41.2891013384,1967.63938815
2,1259726,377,6129,1817.298643058,422.66734194,24.0435624428,15.1312858804,25.5847629042,3376,30.0486660803,1356.84286133,345,509,36,0.20100671707,0.20100671707,0.20100671707,0.20100671707,0.20100671707,10,20.0,30.0
3,33719,29367,903,256.829708054,47.839261327,13.1125100356,0.679044281128,24.5844107636,238,92.7792207792,3522.19480519,804,932,52,2.67382835008,0.724300136406,2.11842511728,0.674263905488,1.64516792887,14,20.0,98.5
4,1834057,813,30642,3348.53381756,776.852854498,58.6637036056,14.61658689158,35.3194192498,6271,73.22601447,2692.89477823,4199,2134,207,13.39473107144,2.85135684826,8.96721447936,2.66590914912,7.5471068295,39,99.2068965517,2876.79310345
5,648,640,31,25.0659527816,0.20100671707,6.13916822956,0.20100671707,5.52952416732,40,73.6363636364,1483.63636364,232763,360,7939,350.529552528,200.961639516,6.2169809536,3.22943365018,8.803837402,689,67.0969162996,2404.15565345
6,298718,591,6229,986.512758716,413.321104342,8.23042456208,1.709078204196,6.15092561898,2031,95.9700980392,3895.44656863,130888,5449,398,28.8833281274,11.34750796378,1.75042727545,0.20100671707,52.3837860644,61,38.9019607843,4036.68627451
7,154880,10653,2930,277.515484896,100.3373960028,7.11566359914,0.68387294339,7.62770001954,552,146.071823204,6332.39779006,7185708,70,29199,58293.9129234,36165.487191,0.20100671707,0.20100671707,9.0047928269,88164,24.06106579419,679.156485299
8,263664,799,8825,220.82051981,53.1142465474,3.24766758802,0.20100671707,2.23724293586,464,116.0435729847,2636.67973856,686,283,63,3.9650617251,2.72128123568,0.20100671707,0.20100671707,72.8032794322,16,24.66666666667,299.5
9,130900,3434,469,185.7393022404,33.0769677738,5.09609523074,0.20100671707,6.07337595,365,122.573002755,10511.7355372,17842633,47004,90425,32754.3457956,11457.91790216,0.724300136406,0.20100671707,3.21649611688,61023,30.5740387849,1406.61833235
10,567,308,43,7.92050044192,0.558183044976,3.60748523332,0.719067202212,3.10983839836,27,115.6470588235,2174.05882353,59,250,21,0.20100671707,0.20100671707,0.20100671707,0.20100671707,0.20100671707,10,20.0,30.0
11,5201,2235,233,46.008794227,27.0590054644,9.6987847516,5.1765971895,8.74239481628,105,116.587628866,2262.69072165,1443,289,133,0.679044281128,0.20100671707,0.719067202212,0.20100671707,1.734569365188,11,20.0,30.0
12,7604,1751,201,43.2037319362,7.16332225474,13.52931408522,2.23945339714,9.12649264866,95,68.5,2023.62790698,182608,1442,3851,291.689819386,148.005915264,47.0983785926,0.20100671707,31.9064851102,577,296.496515679,8068.06620209
13,138285,820,1435,534.87302251,257.415765528,64.763102306,6.99068533598,53.2169396048,862,47.4785631518,4375.21668598,877,453,72,21.8126983864,4.7180481375,7.9503541284,2.24883583962,5.27189431416,42,86.9117647059,1149.44117647
14,648,640,31,25.0659527816,0.20100671707,6.13916822956,0.20100671707,5.52952416732,40,73.6363636364,1483.63636364,454524,1519,5207,910.361230472,587.679116664,60.3761087932,0.20100671707,42.126392893,1803,179.00596206,5786.67913279
